time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20180101:0000;1.99;87.86;0;0;0;286.65;1.15;79;100370
20180101:0100;2.07;88.57;0;0;0;294.52;1.13;195;100310
20180101:0200;2.14;89.27;0;0;0;302.38;1.11;225;100230
20180101:0300;2.22;89.98;0;0;0;310.25;1.09;284;100180
20180101:0400;2.29;90.68;0;0;0;318.12;1.07;294;100120
20180101:0500;2.37;91.39;0;0;0;325.98;1.05;275;100100
20180101:0600;2.44;92.09;0;0;0;333.85;1.03;235;100070
20180101:0700;2.52;92.8;0;0;0;341.71;1.01;227;100090
20180101:0800;2.99;95.7;54;20.72;51;312.35;2;218;100050
20180101:0900;3.74;95.7;58;0;58;292.05;2.28;241;100070
20180101:1000;4.99;88.85;194;114.55;156;298.2;2.55;245;100040
20180101:1100;6.04;82.55;39;0;39;302.3;3.03;244;100000
20180101:1200;7.18;82.65;108;0;108;303.65;3.38;249;99940
20180101:1300;7.83;79.7;75;0;75;289.3;3.03;241;99860
20180101:1400;8.19;76.85;75;9.58;73;288.95;2.21;234;99790
20180101:1500;7.71;79.7;5;0;5;284.3;1.38;211;99740
20180101:1600;6.06;85.7;0;0;0;254.85;2;178;99680
20180101:1700;4.13;92.2;0;0;0;266.1;1.66;142;99610
20180101:1800;3.04;95.7;0;0;0;283.1;1.59;64;99580
20180101:1900;3.64;95.7;0;0;0;283.9;0.41;286;99600
20180101:2000;3.32;95.7;0;0;0;281.6;0.28;223;99530
20180101:2100;2.75;95.7;0;0;0;279.85;0.62;183;99530
20180101:2200;2.24;99.4;0;0;0;259.5;0.76;236;99500
20180101:2300;0.13;100;0;0;0;271.5;1.59;278;99530
20180102:0000;-0.26;100;0;0;0;270.55;1.79;281;99520
20180102:0100;0.05;99.4;0;0;0;277.8;2.07;260;99540
20180102:0200;0.23;100;0;0;0;269.75;2.62;245;99580
20180102:0300;0.66;99.4;0;0;0;281.6;3.17;246;99650
20180102:0400;0.68;99.4;0;0;0;285.45;3.52;251;99720
20180102:0500;0.51;99.4;0;0;0;268.6;3.45;253;99790
20180102:0600;0.52;99.4;0;0;0;278.65;3.31;258;99890
20180102:0700;0.35;92;0;0;0;239;2.76;254;100020
20180102:0800;0.71;92;117;537.6;39;242.3;2.62;255;100110
20180102:0900;2.55;82.15;239;707.88;57;238.05;2.48;263;100190
20180102:1000;5.62;70.85;329;799.57;63;235.3;2.55;276;100250
20180102:1100;8.61;61.3;360;763.65;80;242.5;2.76;294;100280
20180102:1200;10.8;53.1;352;784.9;72;244.6;2.48;307;100230
20180102:1300;11.69;47.6;286;701.64;73;253.5;2.69;320;100200
20180102:1400;11.24;49.3;182;602.44;55;249.85;2;321;100230
20180102:1500;9.86;52.85;51;294.96;26;253.1;2.14;276;100250
20180102:1600;7.28;58.8;0;0;0;245.2;2.9;262;100330
20180102:1700;5.11;65.55;0;0;0;241.15;2.69;265;100360
20180102:1800;3.48;73.3;0;0;0;241.15;2.55;272;100390
20180102:1900;3.45;76.15;0;0;0;285.25;2;286;100380
20180102:2000;3.16;79.1;0;0;0;290.85;1.72;291;100390
20180102:2100;2.72;76;0;0;0;278.3;1.59;285;100380
20180102:2200;1.95;78.95;0;0;0;271.5;1.59;281;100360
20180102:2300;1.46;78.9;0;0;0;285.05;1.72;293;100360
20180103:0000;1.38;78.9;0;0;0;282.15;1.72;308;100330
20180103:0100;1.19;75.75;0;0;0;258.45;1.59;311;100300
20180103:0200;1.9;67.5;0;0;0;253.15;1.17;284;100270
20180103:0300;1.66;70.1;0;0;0;280.6;1.24;268;100210
20180103:0400;0.31;81.8;0;0;0;274.05;1.72;278;100150
20180103:0500;0.01;78.65;0;0;0;260.3;1.66;274;100100
20180103:0600;-0.69;85;0;0;0;246.55;1.66;257;100100
20180103:0700;-0.43;72.6;0;0;0;241.7;1.24;249;100070
20180103:0800;-0.6;81.75;32;0;32;246.15;1.24;188;99860
20180103:0900;2.05;82.05;214;488.67;88;247.15;0.62;290;99810
20180103:1000;5.02;65.55;300;596.24;101;256.05;0.76;177;99540
20180103:1100;6.74;56.45;183;46.19;166;257.75;0.34;285;99430
20180103:1200;7.9;54.55;72;0;72;272.5;1.03;337;99180
20180103:1300;8.49;54.65;81;0;81;270.95;1.66;334;99160
20180103:1400;8;59;22;0;22;275.6;2.07;318;99230
20180103:1500;7.02;63.5;24;11.48;23;284.65;2.21;310;99280
20180103:1600;5.53;68.2;0;0;0;278.85;2;271;99330
20180103:1700;3.87;76.15;0;0;0;268.4;2.28;252;99410
20180103:1800;3.29;79.1;0;0;0;277.5;2.62;252;99540
20180103:1900;2.38;88.65;0;0;0;254.85;2.76;259;99590
20180103:2000;2.05;88.65;0;0;0;260.1;2.62;261;99610
20180103:2100;2.05;88.65;0;0;0;270.75;2.83;273;99680
20180103:2200;2.02;88.65;0;0;0;271.5;2.41;269;99720
20180103:2300;1.55;88.6;0;0;0;272.5;1.93;269;99720
20180104:0000;0.93;92.05;0;0;0;269.4;2;282;99680
20180104:0100;0.91;92.05;0;0;0;278.2;1.79;283;99620
20180104:0200;0.87;92.05;0;0;0;282.35;1.66;295;99630
20180104:0300;1.89;85.3;0;0;0;289.9;1.24;292;99620
20180104:0400;2.5;85.35;0;0;0;290.3;1.1;232;99550
20180104:0500;1.53;92.05;0;0;0;292.2;1.93;235;99560
20180104:0600;1.05;92.05;0;0;0;284.5;1.93;271;99570
20180104:0700;0.15;99.4;0;0;0;264.55;1.93;281;99550
20180104:0800;1.02;95.65;120;602.56;32;276.35;1.79;278;99580
20180104:0900;3.91;88.8;195;363.35;101;277.7;1.72;272;99590
20180104:1000;6.44;82.6;306;659.78;85;271.3;1.72;276;99610
20180104:1100;8.13;79.75;358;779.17;70;280.2;1.66;278;99620
20180104:1200;9.12;76.95;347;771.51;69;282.35;1.45;283;99540
20180104:1300;9.61;74.2;285;714.95;65;279.25;1.38;273;99470
20180104:1400;9.71;77;193;705.81;41;276.75;1.38;274;99450
20180104:1500;9.02;79.85;59;413.16;22;283.5;1.24;254;99450
20180104:1600;7.19;85.8;0;0;0;272.65;1.45;247;99430
20180104:1700;5.47;88.9;0;0;0;268.4;1.03;251;99420
20180104:1800;5.39;92.25;0;0;0;276.35;0.76;303;99430
20180104:1900;5.46;88.9;0;0;0;268.4;0.76;123;99400
20180104:2000;4.28;95.75;0;0;0;274.2;1.03;141;99360
20180104:2100;4.35;99.4;0;0;0;272.3;0.48;340;99400
20180104:2200;3.7;99.4;0;0;0;272.5;0.83;336;99430
20180104:2300;2.44;95.7;0;0;0;272.1;1.1;191;99390
20180105:0000;1.47;99.4;0;0;0;286.05;1.1;217;99360
20180105:0100;1.22;100;0;0;0;298.35;0.83;220;99320
20180105:0200;1.18;100;0;0;0;302.85;0.55;201;99330
20180105:0300;0.94;99.35;0;0;0;297.85;0.69;172;99360
20180105:0400;0.82;100;0;0;0;298.2;0.76;144;99370
20180105:0500;0.97;99.35;0;0;0;305.75;0.9;118;99420
20180105:0600;0.87;99.35;0;0;0;298.4;1.1;114;99470
20180105:0700;0.34;100;0;0;0;295.5;0.97;154;99560
20180105:0800;0.79;100;91;238.58;56;297.85;1.1;149;99610
20180105:0900;1.86;99.4;101;15.4;97;305.55;0.69;127;99690
20180105:1000;3.03;92.15;131;11.89;127;302.1;1.03;81;99710
20180105:1100;4.58;85.55;124;2.69;123;306.55;1.24;85;99700
20180105:1200;5.76;82.5;139;11.04;135;306.35;1.1;86;99650
20180105:1300;6.56;76.65;49;0;49;291.65;1.31;98;99610
20180105:1400;7.13;76.7;17;0;17;279.25;1.45;113;99620
20180105:1500;6.77;79.55;26;10.86;25;291.65;1.1;113;99610
20180105:1600;5.76;85.65;0;0;0;277.7;1.31;86;99640
20180105:1700;4.6;88.85;0;0;0;296.3;1.59;70;99670
20180105:1800;3.98;88.8;0;0;0;299.2;1.59;77;99720
20180105:1900;4.17;92.2;0;0;0;316.8;1.72;37;99780
20180105:2000;4.51;88.85;0;0;0;326.3;1.72;53;99790
20180105:2100;4.9;88.85;0;0;0;336.15;1.45;60;99800
20180105:2200;5.16;88.85;0;0;0;338.3;1.24;69;99800
20180105:2300;5.36;88.85;0;0;0;337.5;1.03;85;99820
20180106:0000;5.44;88.9;0;0;0;341.75;1.1;85;99790
20180106:0100;5.53;88.9;0;0;0;343.05;1.38;79;99780
20180106:0200;5.71;88.9;0;0;0;343.1;1.59;76;99770
20180106:0300;5.76;92.3;0;0;0;342.95;1.59;77;99790
20180106:0400;5.79;92.3;0;0;0;343.5;1.45;78;99760
20180106:0500;5.73;92.3;0;0;0;340;1.45;81;99780
20180106:0600;5.6;92.3;0;0;0;336.15;1.38;86;99800
20180106:0700;4.43;92.25;0;0;0;312.75;1.31;96;99930
20180106:0800;4.67;95.75;27;0;27;324.35;1.03;91;99940
20180106:0900;5.63;92.3;56;0;56;340.6;0.69;81;100020
20180106:1000;6.41;92.3;53;0;53;340.4;0.21;96;100040
20180106:1100;6.8;89;32;0;32;343.7;0.34;265;100040
20180106:1200;7.18;89;78;0;78;342.35;0.55;292;99990
20180106:1300;7.49;89.05;66;0;66;323.2;0.48;315;99970
20180106:1400;7.83;89.05;47;0;47;342.15;0.48;351;99970
20180106:1500;7.73;92.4;17;0;17;334.4;0.69;344;100000
20180106:1600;7.29;92.35;0;0;0;335.2;0.69;306;100050
20180106:1700;6.82;95.8;0;0;0;335.95;0.9;292;100090
20180106:1800;6.6;92.35;0;0;0;342.55;1.03;297;100140
20180106:1900;6.17;95.8;0;0;0;337.5;0.55;311;100220
20180106:2000;6.2;95.8;0;0;0;343.3;0.76;348;100260
20180106:2100;6.44;92.35;0;0;0;338.85;0.76;4;100290
20180106:2200;6.95;89;0;0;0;336.15;0.28;343;100330
20180106:2300;6.92;89;0;0;0;345.45;0.41;331;100350
20180107:0000;6.3;95.8;0;0;0;341.55;0.97;9;100320
20180107:0100;6.34;95.8;0;0;0;343.4;1.38;29;100310
20180107:0200;6.58;92.35;0;0;0;343.7;1.66;50;100290
20180107:0300;6.47;92.35;0;0;0;333.25;1.72;70;100320
20180107:0400;6.45;92.35;0;0;0;334.6;1.72;82;100310
20180107:0500;6.59;95.8;0;0;0;335.95;1.93;84;100350
20180107:0600;6.55;95.8;0;0;0;327.65;2.07;80;100400
20180107:0700;6.8;95.8;0;0;0;331.5;2.07;78;100490
20180107:0800;7.23;95.8;47;6.74;46;338.1;2.28;86;100570
20180107:0900;7.97;92.4;123;49.62;110;338.85;3.03;91;100640
20180107:1000;8.46;95.85;116;2.95;115;342.55;2.69;99;100690
20180107:1100;9.17;95.85;109;0;109;348.95;2.41;93;100710
20180107:1200;9.69;92.45;71;0;71;349.7;2.48;87;100660
20180107:1300;9.95;92.5;83;0;83;351.85;2.28;76;100650
20180107:1400;10.04;92.5;45;0;45;350.1;2.34;69;100670
20180107:1500;9.89;99.4;12;0;12;352;1.86;58;100700
20180107:1600;9.75;95.85;0;0;0;354.15;2.07;59;100720
20180107:1700;9.7;95.85;0;0;0;353.95;2.21;64;100780
20180107:1800;9.58;95.85;0;0;0;351.25;2.28;68;100820
20180107:1900;9.11;99.4;0;0;0;340.6;2.62;92;100850
20180107:2000;9.01;99.4;0;0;0;339.85;2.55;91;100880
20180107:2100;8.97;99.4;0;0;0;340.4;2.41;91;100910
20180107:2200;8.83;100;0;0;0;333.65;2.34;90;100920
20180107:2300;8.81;99.4;0;0;0;338.5;2.28;83;100920
20180108:0000;8.62;99.4;0;0;0;335.55;2.14;63;100920
20180108:0100;8.5;95.85;0;0;0;343.05;2.21;42;100890
20180108:0200;8.09;92.4;0;0;0;331.5;2.21;27;100920
20180108:0300;8.04;92.4;0;0;0;344.85;2.14;24;100910
20180108:0400;8.02;89.1;0;0;0;342.35;2.34;32;100870
20180108:0500;8.22;89.1;0;0;0;345.05;2.41;44;100850
20180108:0600;8.32;89.1;0;0;0;342.35;2.28;51;100840
20180108:0700;9.37;95.85;0;0;0;344.85;3.31;82;100900
20180108:0800;10;92.5;75;100.42;60;354.15;3.38;88;100920
20180108:0900;10.51;92.5;98;11.39;95;353.2;3.59;87;100950
20180108:1000;11.09;95.9;149;26.39;140;360.35;3.24;85;100920
20180108:1100;11.88;92.55;166;26.53;156;343.3;3.93;94;100930
20180108:1200;12.06;92.6;45;0;45;359;3.86;96;100880
20180108:1300;11.97;92.6;202;176.49;146;359.95;4.14;89;100820
20180108:1400;11.87;92.55;78;8.86;76;361.1;4.69;90;100800
20180108:1500;11.84;92.55;25;0;25;361.9;4.28;87;100760
20180108:1600;11.61;89.3;0;0;0;362.1;4.14;93;100740
20180108:1700;11.47;89.3;0;0;0;361.3;4.21;92;100740
20180108:1800;11.39;89.3;0;0;0;360.15;4.62;85;100710
20180108:1900;11.08;92.55;0;0;0;354.75;5.1;96;100720
20180108:2000;11.13;89.3;0;0;0;353.2;5.66;90;100660
20180108:2100;11.37;89.3;0;0;0;359.2;5.79;90;100610
20180108:2200;11.46;86.15;0;0;0;356.85;5.86;93;100600
20180108:2300;11.39;92.55;0;0;0;356.1;6.14;98;100580
20180109:0000;11.26;92.55;0;0;0;359.2;6.55;101;100510
20180109:0100;11.26;95.9;0;0;0;360.25;6.97;105;100450
20180109:0200;10.83;99.4;0;0;0;353.95;5.86;113;100450
20180109:0300;10.78;99.4;0;0;0;360.95;5.86;109;100430
20180109:0400;10.71;99.4;0;0;0;362.65;5.66;108;100410
20180109:0500;10.5;95.9;0;0;0;359.2;5.1;109;100430
20180109:0600;9.97;95.9;0;0;0;359.95;4.14;117;100470
20180109:0700;10.41;99.4;0;0;0;353.95;4.41;108;100470
20180109:0800;9.95;99.4;61;33.22;56;357.05;3.86;108;100530
20180109:0900;9.55;99.4;162;162.38;119;353.2;3.03;105;100590
20180109:1000;9.96;95.9;132;11.67;128;352;2.55;99;100610
20180109:1100;10.44;95.9;177;36.93;163;354.75;2.69;86;100620
20180109:1200;10.39;95.9;192;61.94;169;344.3;3.52;82;100540
20180109:1300;10.49;86.05;163;65.64;142;324.15;4.55;82;100490
20180109:1400;10.39;92.5;92;26.26;86;317.75;4;94;100450
20180109:1500;10.2;92.5;26;0;26;318.15;3.79;103;100440
20180109:1600;9.6;92.45;0;0;0;314.5;3.38;107;100450
20180109:1700;8.85;95.85;0;0;0;298.2;3.24;109;100500
20180109:1800;8.31;92.4;0;0;0;296.5;3.03;107;100550
20180109:1900;8.34;92.4;0;0;0;309.85;2.28;117;100560
20180109:2000;7.99;92.4;0;0;0;312.15;2.07;104;100570
20180109:2100;7.46;92.4;0;0;0;302.1;2.14;96;100560
20180109:2200;6.86;95.8;0;0;0;291.85;2.28;89;100560
20180109:2300;6.58;95.8;0;0;0;299.2;2.21;87;100570
20180110:0000;6.25;95.8;0;0;0;298.4;2.14;90;100530
20180110:0100;5.68;95.75;0;0;0;286.35;2.07;97;100500
20180110:0200;5.39;99.4;0;0;0;293.2;1.86;107;100470
20180110:0300;5.45;95.75;0;0;0;312.95;1.52;116;100440
20180110:0400;5.47;95.75;0;0;0;321.25;1.24;113;100400
20180110:0500;5.36;99.4;0;0;0;320.5;1.17;109;100380
20180110:0600;5.34;99.4;0;0;0;324.55;1.1;107;100350
20180110:0700;3.83;99.4;0;0;0;275.2;1.1;132;100350
20180110:0800;4.49;95.75;69;59.31;60;285.85;0.48;136;100390
20180110:0900;6.14;92.3;219;484.27;90;288.55;0.21;67;100380
20180110:1000;7.44;89.05;222;171.16;163;294.55;0.34;39;100380
20180110:1100;8.82;89.1;218;97.02;181;328.6;0.55;55;100300
20180110:1200;9.58;82.9;143;8.02;140;322.6;0.62;74;100220
20180110:1300;10.34;77.1;119;9.3;116;313.7;0.69;105;100140
20180110:1400;10.08;77.1;108;51.86;96;317.75;0.76;110;100110
20180110:1500;9.75;79.9;47;75.37;39;306.75;0.62;118;100090
20180110:1600;8.71;89.1;0;0;0;297.65;0.83;121;100090
20180110:1700;7.95;85.9;0;0;0;309.05;0.83;120;100100
20180110:1800;7.94;82.75;0;0;0;295.3;0.76;120;100120
20180110:1900;7.71;89.05;0;0;0;305.2;0.62;44;100110
20180110:2000;6.42;89;0;0;0;313.7;1.1;40;100090
20180110:2100;5.74;92.3;0;0;0;306.95;1.17;40;100060
20180110:2200;6.17;92.3;0;0;0;297.45;0.69;29;100030
20180110:2300;5.76;95.75;0;0;0;297.85;0.69;344;100030
20180111:0000;4.2;95.75;0;0;0;295.1;1.17;339;99990
20180111:0100;3.28;99.4;0;0;0;287.9;1.45;346;99980
20180111:0200;2.97;95.7;0;0;0;290.65;1.24;349;99960
20180111:0300;2.65;99.4;0;0;0;276.15;1.1;348;99950
20180111:0400;3.14;95.7;0;0;0;296.3;0.76;329;99920
20180111:0500;2.8;95.7;0;0;0;285.25;0.83;301;99920
20180111:0600;2.15;95.65;0;0;0;265.1;0.97;294;99930
20180111:0700;3.57;92.15;0;0;0;303.05;0.83;334;99980
20180111:0800;4.39;92.25;104;320.07;55;310.4;0.62;354;100000
20180111:0900;5.89;92.3;153;119.37;121;305.75;0.41;25;100030
20180111:1000;7.24;85.8;246;253.8;158;281.6;0.34;85;100050
20180111:1100;8.71;82.75;291;320.55;168;295.3;0.62;118;100040
20180111:1200;9.24;79.85;300;387.79;154;301.1;0.62;131;99970
20180111:1300;9.72;77;260;414.66;125;290.1;0.55;114;99970
20180111:1400;9.92;74.2;198;575.94;63;293.55;0.55;87;99980
20180111:1500;9.68;74.2;80;503.62;25;280.4;0.41;73;100010
20180111:1600;8.8;79.75;0;0;0;274.2;0.48;34;100060
20180111:1700;7.9;82.7;0;0;0;278.65;0.76;348;100120
20180111:1800;6.11;85.7;0;0;0;276.35;1.1;328;100160
20180111:1900;4.07;95.75;0;0;0;251.2;1.38;248;100210
20180111:2000;3.76;95.7;0;0;0;254.65;1.24;269;100250
20180111:2100;2.32;99.4;0;0;0;251.75;1.38;290;100290
20180111:2200;1.63;99.4;0;0;0;257;1.38;294;100330
20180111:2300;1.09;100;0;0;0;248.85;1.31;284;100370
20180112:0000;0.25;100;0;0;0;263.95;1.17;282;100380
20180112:0100;0.21;100;0;0;0;279.95;0.83;269;100410
20180112:0200;0.37;99.4;0;0;0;279.85;0.76;246;100450
20180112:0300;0.91;99.35;0;0;0;296.65;0.48;234;100500
20180112:0400;1.12;99.35;0;0;0;298.2;0.21;209;100530
20180112:0500;1.5;99.4;0;0;0;312.75;0.07;28;100580
20180112:0600;1.74;99.4;0;0;0;310.2;0.28;358;100640
20180112:0700;1.5;99.4;0;0;0;276.15;1.1;20;100660
20180112:0800;2.08;95.65;105;304.07;58;264.75;1.03;13;100720
20180112:0900;4.69;88.85;163;148.21;123;262.05;0.76;23;100790
20180112:1000;7.21;76.7;311;584.72;107;275.4;0.76;41;100820
20180112:1100;8.58;71.35;359;655.13;106;272.1;0.83;66;100850
20180112:1200;9.28;66.25;381;843.8;61;268.4;0.97;77;100770
20180112:1300;9.75;63.9;316;770.11;63;264.55;0.97;77;100760
20180112:1400;9.78;63.9;210;661.06;53;264.55;0.83;81;100770
20180112:1500;9.39;66.25;78;409.4;32;263.4;0.48;90;100810
20180112:1600;8.35;71.35;0;0;0;260.5;0.55;74;100860
20180112:1700;7.15;73.9;0;0;0;257.6;0.76;42;100910
20180112:1800;4.71;82.35;0;0;0;255.45;1.38;13;100950
20180112:1900;6.22;79.5;0;0;0;255.45;0.55;4;100930
20180112:2000;4.53;82.35;0;0;0;254.65;1.31;7;101000
20180112:2100;2.09;95.65;0;0;0;254.5;1.79;8;101030
20180112:2200;1.1;95.65;0;0;0;253.5;1.79;8;101060
20180112:2300;0.64;99.4;0;0;0;255.25;1.59;360;101060
20180113:0000;0.13;99.4;0;0;0;259.7;1.45;346;101050
20180113:0100;-0.09;99.4;0;0;0;262.15;1.45;329;101040
20180113:0200;-0.38;99.4;0;0;0;258.35;1.59;319;101050
20180113:0300;-0.6;99.4;0;0;0;260.65;1.59;308;101020
20180113:0400;-0.94;99.4;0;0;0;255.85;1.59;295;101000
20180113:0500;-1.16;100;0;0;0;255.05;1.66;284;100990
20180113:0600;-1.31;99.4;0;0;0;256.05;1.66;266;101000
20180113:0700;-0.52;95.6;0;0;0;263;1.59;280;101020
20180113:0800;0.24;99.4;125;544.32;40;262.8;1.45;258;101060
20180113:0900;3.04;88.7;252;717.41;57;259.9;1.66;248;101070
20180113:1000;5.24;82.4;342;785.99;66;258.15;1.86;245;101080
20180113:1100;7.12;73.9;386;812.84;70;258.35;1.93;249;101050
20180113:1200;8.61;71.35;382;829.66;65;263;1.93;254;100970
20180113:1300;9.52;66.35;322;790.16;60;264.75;1.86;257;100900
20180113:1400;9.92;66.35;212;644.01;57;265.1;1.66;252;100870
20180113:1500;9.39;68.8;81;415.27;33;263.4;1.45;230;100860
20180113:1600;7.75;73.95;0;0;0;261.25;2.14;219;100870
20180113:1700;5.62;82.5;0;0;0;258.15;2.14;225;100890
20180113:1800;3.93;85.5;0;0;0;255.85;1.93;227;100900
20180113:1900;3.72;88.75;0;0;0;254.65;1.24;265;100860
20180113:2000;2.84;92.15;0;0;0;252.35;1.17;282;100870
20180113:2100;2.72;92.15;0;0;0;255.85;0.97;306;100880
20180113:2200;1.84;99.4;0;0;0;254.85;0.69;344;100890
20180113:2300;1.08;99.35;0;0;0;256.8;0.62;348;100880
20180114:0000;-0.02;99.4;0;0;0;259.5;0.55;332;100850
20180114:0100;-0.68;100;0;0;0;268.35;0.55;331;100820
20180114:0200;-0.92;99.4;0;0;0;288.55;0.34;322;100840
20180114:0300;-1.17;100;0;0;0;287.75;0.41;313;100840
20180114:0400;-1.29;99.4;0;0;0;281;0.41;330;100820
20180114:0500;-1.16;100;0;0;0;282.75;0.34;357;100830
20180114:0600;-0.87;99.4;0;0;0;293;0.34;33;100850
20180114:0700;-0.62;88.45;0;0;0;254.5;0.62;358;100850
20180114:0800;0.12;88.45;121;468.76;47;270.95;0.48;5;100890
20180114:0900;2.53;82.15;250;682.85;63;285.65;0.41;28;100920
20180114:1000;4.18;79.2;347;800.51;64;276.35;0.48;65;100950
20180114:1100;5.44;76.5;389;814.93;70;295.9;0.76;84;100950
20180114:1200;6.3;76.55;324;457.1;148;284.1;0.97;86;100880
20180114:1300;7.05;71.15;336;860.4;48;281.4;1.17;88;100830
20180114:1400;7.56;68.6;197;471.4;82;289.9;1.38;96;100800
20180114:1500;7.12;71.15;92;555.12;26;284.65;1.31;106;100830
20180114:1600;6.21;76.55;0;0;0;282.35;1.52;109;100850
20180114:1700;4.69;85.55;0;0;0;272.65;1.52;112;100910
20180114:1800;3.37;92.15;0;0;0;277.9;1.38;95;100960
20180114:1900;2.97;88.7;0;0;0;275.2;1.45;68;100980
20180114:2000;2.2;95.65;0;0;0;267.45;1.59;54;101030
20180114:2100;1.93;92.1;0;0;0;270.35;1.52;53;101070
20180114:2200;1.73;95.65;0;0;0;263.6;1.45;66;101090
20180114:2300;2.06;92.1;0;0;0;266.1;1.17;88;101110
20180115:0000;2.32;95.65;0;0;0;287.95;0.9;111;101090
20180115:0100;2.55;92.15;0;0;0;280.9;0.62;111;101070
20180115:0200;2.23;95.65;0;0;0;270.15;0.69;123;101070
20180115:0300;1.55;95.65;0;0;0;286.4;0.83;143;101080
20180115:0400;0.5;99.4;0;0;0;271.1;1.1;156;101050
20180115:0500;0.53;99.4;0;0;0;276.95;0.97;167;101060
20180115:0600;0.9;99.35;0;0;0;296.1;0.69;165;101080
20180115:0700;2.06;92.1;0;0;0;284.5;0.34;124;101100
20180115:0800;2.16;92.1;87;125.25;67;288.75;0.34;151;101120
20180115:0900;3.64;88.75;152;97.82;125;276.55;0.28;156;101160
20180115:1000;4.8;82.35;133;8.43;130;268.2;0.55;130;101150
20180115:1100;5.95;73.7;154;10.15;150;286.6;0.97;126;101110
20180115:1200;6.37;73.7;118;0;118;282.95;1.17;124;100980
20180115:1300;6.81;68.4;178;68.05;155;300.75;1.1;113;100890
20180115:1400;6.85;68.4;62;0;62;301.5;0.83;112;100850
20180115:1500;6.68;68.4;67;163.56;47;327.85;1.03;107;100790
20180115:1600;5.99;73.7;0;0;0;321.05;1.24;98;100750
20180115:1700;5.25;79.35;0;0;0;311.4;1.45;104;100720
20180115:1800;4.72;82.35;0;0;0;311.95;1.45;107;100680
20180115:1900;4.65;85.55;0;0;0;320.3;1.59;78;100650
20180115:2000;4.37;88.8;0;0;0;318.75;1.79;73;100600
20180115:2100;4.29;88.8;0;0;0;325.1;1.93;68;100560
20180115:2200;4.12;88.8;0;0;0;322.2;2.07;73;100470
20180115:2300;4.04;88.8;0;0;0;322.6;2.07;65;100400
20180116:0000;3.99;88.8;0;0;0;324.95;2.07;49;100310
20180116:0100;3.9;88.8;0;0;0;323.5;2;47;100180
20180116:0200;3.81;92.15;0;0;0;323.4;1.59;40;100090
20180116:0300;3.78;92.15;0;0;0;325.1;1.17;22;100060
20180116:0400;3.63;92.15;0;0;0;321.65;0.83;349;99950
20180116:0500;3.58;92.15;0;0;0;322.6;0.76;311;99920
20180116:0600;3.48;92.15;0;0;0;318.75;1.1;284;99860
20180116:0700;3.02;95.7;0;0;0;314.3;0.55;273;99890
20180116:0800;3.39;92.15;80;80.44;67;318.95;0.9;287;99870
20180116:0900;4.01;88.8;88;3.59;87;315.25;1.31;297;99830
20180116:1000;4.86;85.55;105;0;105;311.4;1.45;298;99790
20180116:1100;5.75;82.5;136;2.52;135;312.35;1.31;291;99710
20180116:1200;6.13;76.55;142;5.11;140;289.5;1.45;288;99580
20180116:1300;6.58;71.05;219;169.94;161;285.45;1.52;287;99470
20180116:1400;6.54;71.05;201;462.62;85;283.9;1.52;275;99380
20180116:1500;6.22;73.7;89;421.53;36;270.15;1.72;276;99340
20180116:1600;4.98;79.35;0;0;0;258.75;1.79;269;99300
20180116:1700;3.76;85.45;0;0;0;271.9;1.66;272;99240
20180116:1800;2.32;95.65;0;0;0;251;1.72;280;99180
20180116:1900;1.6;95.65;0;0;0;250.2;1.31;283;99170
20180116:2000;1.34;95.65;0;0;0;251;1.03;270;99130
20180116:2100;0.92;92.05;0;0;0;248.1;0.97;281;99050
20180116:2200;-0.48;95.6;0;0;0;250.8;1.45;286;99000
20180116:2300;-1.02;95.6;0;0;0;249.65;1.45;259;98930
20180117:0000;-1.52;95.6;0;0;0;246.55;1.59;267;98850
20180117:0100;-1.65;95.6;0;0;0;250.35;1.59;250;98750
20180117:0200;-1.82;99.4;0;0;0;250.2;1.45;261;98640
20180117:0300;-1.91;99.4;0;0;0;254.1;1.52;254;98620
20180117:0400;-2.03;99.4;0;0;0;252.75;1.66;229;98500
20180117:0500;-1.8;99.4;0;0;0;257.6;1.93;272;98530
20180117:0600;-0.79;99.4;0;0;0;274.05;2.21;281;98550
20180117:0700;-1.45;95.6;0;0;0;245.4;3.1;248;98770
20180117:0800;-0.56;95.6;120;384.95;57;257;3.52;262;98880
20180117:0900;1.68;85.25;207;306.43;121;270.95;3.79;274;99040
20180117:1000;5.1;70.8;328;595.05;113;252.35;3.86;280;99170
20180117:1100;8.26;54.65;237;107.46;194;255.85;3.52;293;99260
20180117:1200;9.58;43.55;344;504.47;145;253.7;3.31;305;99330
20180117:1300;9.82;37.2;331;739.73;76;253.15;3.79;306;99410
20180117:1400;9.27;41.7;245;802.32;41;265.7;3.38;291;99510
20180117:1500;8.21;46.8;100;533.8;31;244.05;3.17;285;99650
20180117:1600;6.1;50.05;0;0;0;237.45;2.97;287;99750
20180117:1700;4.2;55.85;0;0;0;234.15;2.83;301;99890
20180117:1800;2.99;55.55;0;0;0;230.5;2.55;299;100010
20180117:1900;2.3;67.5;0;0;0;231.85;2.48;295;100050
20180117:2000;0.95;70.05;0;0;0;232.2;2.41;271;100110
20180117:2100;-0.15;75.6;0;0;0;228.55;2.48;260;100180
