time(UTC);T2m;RH;G(h);Gb(n);Gd(h);IR(h);WS10m;WD10m;SP
20190411:2000;11.08;92.55;0;0;0;347.55;1.45;357;99960
20190411:2100;10.88;92.55;0;0;0;347.75;1.45;358;99960
20190411:2200;10.73;95.9;0;0;0;347.75;1.45;5;100000
20190411:2300;10.63;92.5;0;0;0;349.1;1.59;15;100020
20190412:0000;10.45;92.5;0;0;0;345.85;1.72;22;100060
20190412:0100;10.36;92.5;0;0;0;348.45;1.59;32;100040
20190412:0200;10.28;89.25;0;0;0;347.75;1.52;53;100030
20190412:0300;9.87;92.5;0;0;0;334;1.52;66;100020
20190412:0400;9.33;92.45;0;0;0;323.4;1.45;49;100010
20190412:0500;9.11;92.45;10;0;10;327.85;1.52;30;100020
20190412:0600;9.96;92.5;49;0;49;340.6;1.17;45;100060
20190412:0700;11.93;83.15;105;0;105;326.5;0.62;32;100040
20190412:0800;12.74;74.7;150;0;150;331.9;0.76;98;100060
20190412:0900;13.6;69.65;241;2.91;239;327.65;1.59;118;100090
20190412:1000;14.38;64.95;197;0;197;322.05;1.72;110;100070
20190412:1100;14.95;62.75;410;46.26;373;326.65;1.93;107;100060
20190412:1200;15.56;60.5;423;59.72;376;340.2;2.28;110;100010
20190412:1300;15.97;58.45;398;68.69;348;342.75;2.48;116;100010
20190412:1400;16.15;56.35;388;132.46;305;343.5;2.69;113;99950
20190412:1500;16.06;54.35;395;414.39;192;338.3;3.1;108;99920
20190412:1600;15.48;56.25;234;311.79;132;329.95;3.79;111;99910
20190412:1700;14.21;60.3;57;33.46;52;308.5;4;103;99960
20190412:1800;12.62;66.95;0;0;0;304.8;4.07;100;100030
20190412:1900;12.76;72.05;0;0;0;308.65;2.55;92;100020
20190412:2000;11.84;71.95;0;0;0;303.85;2.9;94;100090
20190412:2100;11.61;71.85;0;0;0;327.25;3.17;96;100120
20190412:2200;11.06;71.75;0;0;0;319.5;3.31;95;100160
20190412:2300;10.44;71.7;0;0;0;311.2;3.24;92;100210
20190413:0000;9.99;71.6;0;0;0;315.85;3.17;88;100210
20190413:0100;9.57;74.2;0;0;0;314.95;3.17;87;100190
20190413:0200;9.57;71.5;0;0;0;338.65;3.24;87;100200
20190413:0300;9.2;74.15;0;0;0;329.95;3.24;83;100190
20190413:0400;8.77;74.15;0;0;0;319.1;3.1;78;100180
