classe,residenza,periodo,giorno,ora,kwh,anno
0<potenza_impegnata<=1.5,Tutti,anno,Giorno feriale,4,0.04667947368430493,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,9,0.03763077830413029,2025
0<potenza_impegnata<=1.5,Residente,anno,Sabato,21,0.10409782843192915,2025
0<potenza_impegnata<=1.5,Tutti,anno,Giorno feriale,9,0.06333270136416319,2025
0<potenza_impegnata<=1.5,Tutti,anno,Domenica,16,0.06557335877474177,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,0,0.06051309225790695,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,22,0.04742225535706359,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,8,0.0628486429967029,2025
0<potenza_impegnata<=1.5,Residente,anno,Giorno feriale,16,0.08179896067743746,2025
0<potenza_impegnata<=1.5,Residente,anno,Giorno feriale,13,0.08579296957833647,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,13,0.06892452985712542,2025
0<potenza_impegnata<=1.5,Tutti,anno,Giorno feriale,14,0.06338995943653496,2025
0<potenza_impegnata<=1.5,Residente,anno,Domenica,19,0.11007784162489793,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,12,0.06875516393943094,2025
0<potenza_impegnata<=1.5,Tutti,anno,Domenica,3,0.046601223004848404,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,11,0.041655281732168724,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,16,0.04195516902173227,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Sabato,21,0.04771938340657877,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Sabato,6,0.03476534159009188,2025
0<potenza_impegnata<=1.5,Residente,anno,Giorno feriale,2,0.05853201031643735,2025
0<potenza_impegnata<=1.5,Tutti,anno,Domenica,10,0.06841291013367644,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,19,0.07824750885333985,2025
0<potenza_impegnata<=1.5,Tutti,anno,Sabato,1,0.05386728080351691,2025
0<potenza_impegnata<=1.5,Residente,anno,Domenica,5,0.05607876918792951,2025
0<potenza_impegnata<=1.5,Tutti,anno,Giorno feriale,23,0.06932503343167931,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,7,0.033185584441527305,2025
0<potenza_impegnata<=1.5,Tutti,anno,Giorno feriale,0,0.06108042487467747,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,17,0.04138511389507194,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,10,0.04006598145717204,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,19,0.04941289989584895,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Sabato,18,0.04528987548275403,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,0,0.040473374014674456,2025
0<potenza_impegnata<=1.5,Residente,anno,Sabato,20,0.10933326615192461,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Sabato,7,0.036543640964176324,2025
0<potenza_impegnata<=1.5,Residente,anno,Giorno feriale,4,0.05565491705351383,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Giorno feriale,1,0.03792232256849565,2025
0<potenza_impegnata<=1.5,Non Residente,anno,Domenica,11,0.040708932455656384,2025
