classe,residenza,mercato,periodo,kwh,f1,f2,f3,anno
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,anno,586,0.3109,0.2953,0.3938,2024
1.5<potenza_impegnata<=3,Residente,Servizio a tutele graduali domestici non vulnerabili,anno,815,0.3054,0.3021,0.3925,2024
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,anno,790,0.3061,0.3013,0.3926,2024
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,anno,986,0.3264,0.29,0.3836,2024
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,anno,1277,0.3151,0.3054,0.3795,2024
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,anno,1248,0.3165,0.3035,0.38,2024
4.5<potenza_impegnata<=6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,anno,1790,0.3379,0.284,0.3781,2024
4.5<potenza_impegnata<=6,Residente,Servizio a tutele graduali domestici non vulnerabili,anno,1582,0.3272,0.2968,0.376,2024
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,anno,1613,0.3286,0.2951,0.3763,2024
potenza_impegnata>6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,anno,3252,0.3884,0.2424,0.3692,2024
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,anno,3498,0.3368,0.2733,0.3899,2024
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,anno,3472,0.3482,0.2665,0.3853,2024
0<potenza_impegnata<=1.5,Non Residente,Tutti,anno,400,0.3221,0.2717,0.4062,2024
0<potenza_impegnata<=1.5,Residente,Tutti,anno,782,0.3166,0.2862,0.3972,2024
0<potenza_impegnata<=1.5,Tutti,Tutti,anno,611,0.318,0.2824,0.3996,2024
1.5<potenza_impegnata<=3,Non Residente,Tutti,anno,1109,0.2994,0.3387,0.3619,2024
1.5<potenza_impegnata<=3,Residente,Tutti,anno,1627,0.3171,0.306,0.3768,2024
1.5<potenza_impegnata<=3,Tutti,Tutti,anno,1605,0.3145,0.3109,0.3746,2024
3<potenza_impegnata<=4.5,Non Residente,Tutti,anno,1709,0.3217,0.308,0.3703,2024
3<potenza_impegnata<=4.5,Residente,Tutti,anno,2462,0.3219,0.313,0.3651,2024
3<potenza_impegnata<=4.5,Tutti,Tutti,anno,2414,0.3218,0.3121,0.366,2024
4.5<potenza_impegnata<=6,Non Residente,Tutti,anno,2414,0.3395,0.2866,0.374,2024
4.5<potenza_impegnata<=6,Residente,Tutti,anno,3080,0.3244,0.3005,0.3751,2024
4.5<potenza_impegnata<=6,Tutti,Tutti,anno,3054,0.3272,0.2979,0.3749,2024
potenza_impegnata>6,Non Residente,Tutti,anno,7287,0.3611,0.2577,0.3812,2024
potenza_impegnata>6,Residente,Tutti,anno,6622,0.334,0.2749,0.3911,2024
potenza_impegnata>6,Tutti,Tutti,anno,7062,0.3426,0.2695,0.3879,2024
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,08,31,0.2816,0.2642,0.4542,2024
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,08,71,0.3134,0.2795,0.4071,2024
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,08,57,0.3077,0.2768,0.4155,2024
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,08,112,0.3031,0.2784,0.4185,2024
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,08,150,0.3128,0.2917,0.3954,2024
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,08,148,0.3123,0.291,0.3967,2024
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,08,167,0.3149,0.2822,0.4029,2024
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,08,234,0.3246,0.2994,0.3759,2024
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,08,227,0.3238,0.2979,0.3783,2024
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,08,223,0.3484,0.2695,0.382,2024
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,08,276,0.3281,0.2921,0.3798,2024
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,08,268,0.3315,0.2884,0.3802,2024
potenza_impegnata>6,Non Residente,Maggior Tutela,08,722,0.3368,0.2618,0.4013,2024
potenza_impegnata>6,Residente,Maggior Tutela,08,573,0.3343,0.2832,0.3825,2024
potenza_impegnata>6,Tutti,Maggior Tutela,08,612,0.3354,0.2746,0.3901,2024
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,08,28,0.3226,0.2636,0.4139,2024
0<potenza_impegnata<=1.5,Residente,Mercato Libero,08,70,0.3036,0.2744,0.4219,2024
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,08,46,0.3081,0.2719,0.42,2024
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,08,115,0.2978,0.2827,0.4194,2024
1.5<potenza_impegnata<=3,Residente,Mercato Libero,08,169,0.3004,0.2913,0.4083,2024
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,08,161,0.3,0.2899,0.41,2024
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,08,177,0.3127,0.2845,0.4028,2024
3<potenza_impegnata<=4.5,Residente,Mercato Libero,08,239,0.3103,0.2984,0.3913,2024
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,08,229,0.3109,0.2958,0.3933,2024
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,08,231,0.3219,0.2818,0.3963,2024
4.5<potenza_impegnata<=6,Residente,Mercato Libero,08,280,0.3137,0.2927,0.3936,2024
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,08,271,0.3154,0.2905,0.3941,2024
potenza_impegnata>6,Non Residente,Mercato Libero,08,756,0.3398,0.2649,0.3953,2024
potenza_impegnata>6,Residente,Mercato Libero,08,616,0.3179,0.2795,0.4025,2024
potenza_impegnata>6,Tutti,Mercato Libero,08,653,0.3246,0.2752,0.4002,2024
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,08,27,0.2647,0.2601,0.4752,2024
0<potenza_impegnata<=1.5,Residente,Servizio a tutele graduali domestici non vulnerabili,08,59,0.2553,0.276,0.4687,2024
0<potenza_impegnata<=1.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,08,45,0.2581,0.2704,0.4716,2024
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,08,102,0.298,0.2822,0.4198,2024
1.5<potenza_impegnata<=3,Residente,Servizio a tutele graduali domestici non vulnerabili,08,158,0.2932,0.2928,0.414,2024
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,08,151,0.2937,0.2916,0.4147,2024
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,08,173,0.3087,0.2807,0.4107,2024
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,08,242,0.3079,0.297,0.3952,2024
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,08,234,0.3079,0.2952,0.3969,2024
4.5<potenza_impegnata<=6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,08,218,0.3155,0.2873,0.3972,2024
4.5<potenza_impegnata<=6,Residente,Servizio a tutele graduali domestici non vulnerabili,08,282,0.3136,0.2914,0.3951,2024
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,08,273,0.3138,0.2909,0.3953,2024
potenza_impegnata>6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,08,593,0.3463,0.2539,0.3998,2024
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,08,643,0.3225,0.2797,0.3978,2024
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,08,633,0.3276,0.2741,0.3982,2024
0<potenza_impegnata<=1.5,Non Residente,Tutti,08,28,0.3066,0.2632,0.4303,2024
0<potenza_impegnata<=1.5,Residente,Tutti,08,69,0.3019,0.2758,0.4223,2024
0<potenza_impegnata<=1.5,Tutti,Tutti,08,48,0.3029,0.2728,0.4243,2024
1.5<potenza_impegnata<=3,Non Residente,Tutti,08,113,0.298,0.2826,0.4194,2024
1.5<potenza_impegnata<=3,Residente,Tutti,08,166,0.3008,0.2915,0.4077,2024
1.5<potenza_impegnata<=3,Tutti,Tutti,08,158,0.3004,0.2902,0.4094,2024
3<potenza_impegnata<=4.5,Non Residente,Tutti,08,176,0.3125,0.2842,0.4033,2024
3<potenza_impegnata<=4.5,Residente,Tutti,08,239,0.3106,0.2983,0.3911,2024
3<potenza_impegnata<=4.5,Tutti,Tutti,08,230,0.311,0.2959,0.3931,2024
4.5<potenza_impegnata<=6,Non Residente,Tutti,08,230,0.3223,0.2818,0.3959,2024
4.5<potenza_impegnata<=6,Residente,Tutti,08,280,0.3143,0.2925,0.3933,2024
4.5<potenza_impegnata<=6,Tutti,Tutti,08,271,0.3158,0.2904,0.3937,2024
potenza_impegnata>6,Non Residente,Tutti,08,739,0.3401,0.2636,0.3963,2024
potenza_impegnata>6,Residente,Tutti,08,617,0.3195,0.2798,0.4007,2024
potenza_impegnata>6,Tutti,Tutti,08,647,0.3257,0.275,0.3992,2024
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,04,26,0.2804,0.2773,0.4424,2024
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,04,57,0.2992,0.2826,0.4182,2024
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,04,45,0.2951,0.2815,0.4234,2024
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,04,84,0.3071,0.2949,0.398,2024
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,04,116,0.3063,0.2993,0.3945,2024
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,04,113,0.3063,0.2989,0.3948,2024
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,04,150,0.3193,0.2913,0.3894,2024
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,04,189,0.311,0.3047,0.3843,2024
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,04,185,0.3118,0.3035,0.3848,2024
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,04,193,0.3261,0.277,0.3969,2024
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,04,225,0.3161,0.294,0.3899,2024
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,04,221,0.3174,0.2917,0.3908,2024
potenza_impegnata>6,Non Residente,Maggior Tutela,04,467,0.3627,0.2443,0.393,2024
potenza_impegnata>6,Residente,Maggior Tutela,04,454,0.3263,0.266,0.4077,2024
potenza_impegnata>6,Tutti,Maggior Tutela,04,457,0.3354,0.2606,0.404,2024
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,04,27,0.3088,0.2572,0.434,2024
0<potenza_impegnata<=1.5,Residente,Mercato Libero,04,62,0.3075,0.2805,0.4121,2024
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,04,42,0.308,0.2742,0.4178,2024
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,04,97,0.3073,0.2979,0.3948,2024
1.5<potenza_impegnata<=3,Residente,Mercato Libero,04,129,0.3094,0.3002,0.3905,2024
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,04,124,0.3091,0.2998,0.3912,2024
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,04,156,0.3124,0.2971,0.3904,2024
3<potenza_impegnata<=4.5,Residente,Mercato Libero,04,199,0.31,0.3092,0.3808,2024
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,04,192,0.3104,0.3072,0.3824,2024
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,04,201,0.3255,0.2835,0.3911,2024
4.5<potenza_impegnata<=6,Residente,Mercato Libero,04,236,0.3118,0.2958,0.3923,2024
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,04,230,0.3144,0.2936,0.3921,2024
potenza_impegnata>6,Non Residente,Mercato Libero,04,632,0.3443,0.2515,0.4042,2024
potenza_impegnata>6,Residente,Mercato Libero,04,477,0.3201,0.2678,0.4121,2024
potenza_impegnata>6,Tutti,Mercato Libero,04,518,0.3285,0.2623,0.4093,2024
0<potenza_impegnata<=1.5,Non Residente,Tutti,04,27,0.3008,0.2628,0.4363,2024
0<potenza_impegnata<=1.5,Residente,Tutti,04,60,0.3046,0.2812,0.4142,2024
0<potenza_impegnata<=1.5,Tutti,Tutti,04,43,0.3038,0.2766,0.4196,2024
1.5<potenza_impegnata<=3,Non Residente,Tutti,04,95,0.3073,0.2975,0.3952,2024
1.5<potenza_impegnata<=3,Residente,Tutti,04,126,0.3087,0.3,0.3913,2024
1.5<potenza_impegnata<=3,Tutti,Tutti,04,121,0.3085,0.2996,0.3919,2024
3<potenza_impegnata<=4.5,Non Residente,Tutti,04,156,0.313,0.2967,0.3903,2024
3<potenza_impegnata<=4.5,Residente,Tutti,04,198,0.3102,0.3085,0.3813,2024
3<potenza_impegnata<=4.5,Tutti,Tutti,04,191,0.3105,0.3067,0.3827,2024
4.5<potenza_impegnata<=6,Non Residente,Tutti,04,200,0.3256,0.2826,0.3918,2024
4.5<potenza_impegnata<=6,Residente,Tutti,04,234,0.3126,0.2955,0.3919,2024
4.5<potenza_impegnata<=6,Tutti,Tutti,04,228,0.3149,0.2933,0.3919,2024
potenza_impegnata>6,Non Residente,Tutti,04,605,0.3468,0.2505,0.4027,2024
potenza_impegnata>6,Residente,Tutti,04,472,0.3213,0.2674,0.4112,2024
potenza_impegnata>6,Tutti,Tutti,04,505,0.3297,0.262,0.4083,2024
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,12,35,0.26,0.2706,0.4694,2024
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,12,70,0.3144,0.2615,0.4241,2024
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,12,57,0.3054,0.263,0.4315,2024
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,12,102,0.3112,0.2765,0.4123,2024
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,12,129,0.3158,0.2768,0.4074,2024
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,12,127,0.3154,0.2768,0.4078,2024
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,12,184,0.3538,0.2562,0.39,2024
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,12,224,0.3249,0.2753,0.3998,2024
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,12,220,0.3283,0.2731,0.3987,2024
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,12,252,0.3251,0.2688,0.406,2024
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,12,293,0.3303,0.2665,0.4032,2024
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,12,287,0.3292,0.267,0.4038,2024
potenza_impegnata>6,Non Residente,Maggior Tutela,12,724,0.331,0.2423,0.4267,2024
potenza_impegnata>6,Residente,Maggior Tutela,12,593,0.3086,0.251,0.4404,2024
potenza_impegnata>6,Tutti,Maggior Tutela,12,625,0.319,0.247,0.4341,2024
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,12,34,0.3236,0.2467,0.4297,2024
0<potenza_impegnata<=1.5,Residente,Mercato Libero,12,68,0.2995,0.2683,0.4321,2024
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,12,48,0.307,0.2619,0.4312,2024
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,12,114,0.3092,0.2803,0.4105,2024
1.5<potenza_impegnata<=3,Residente,Mercato Libero,12,153,0.3041,0.2841,0.4118,2024
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,12,147,0.305,0.2833,0.4117,2024
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,12,193,0.3118,0.2763,0.4119,2024
3<potenza_impegnata<=4.5,Residente,Mercato Libero,12,243,0.3074,0.289,0.4036,2024
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,12,234,0.3082,0.2864,0.4054,2024
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,12,282,0.3536,0.2569,0.3894,2024
4.5<potenza_impegnata<=6,Residente,Mercato Libero,12,343,0.3095,0.2751,0.4154,2024
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,12,332,0.3203,0.2707,0.409,2024
potenza_impegnata>6,Non Residente,Mercato Libero,12,900,0.3393,0.2421,0.4186,2024
potenza_impegnata>6,Residente,Mercato Libero,12,778,0.3164,0.2535,0.43,2024
potenza_impegnata>6,Tutti,Mercato Libero,12,810,0.3238,0.2501,0.4262,2024
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,12,32,0.2902,0.2241,0.4857,2024
0<potenza_impegnata<=1.5,Residente,Servizio a tutele graduali domestici non vulnerabili,12,58,0.2938,0.2774,0.4289,2024
0<potenza_impegnata<=1.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,12,46,0.2927,0.262,0.4453,2024
1.5<potenza_impegnata<=3,Non Residente,Servizio a tutele graduali domestici non vulnerabili,12,97,0.301,0.2782,0.4208,2024
1.5<potenza_impegnata<=3,Residente,Servizio a tutele graduali domestici non vulnerabili,12,145,0.2952,0.2856,0.4192,2024
1.5<potenza_impegnata<=3,Tutti,Servizio a tutele graduali domestici non vulnerabili,12,139,0.2959,0.2846,0.4194,2024
3<potenza_impegnata<=4.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,12,187,0.312,0.2774,0.4107,2024
3<potenza_impegnata<=4.5,Residente,Servizio a tutele graduali domestici non vulnerabili,12,237,0.3012,0.2881,0.4107,2024
3<potenza_impegnata<=4.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,12,231,0.3027,0.2866,0.4107,2024
4.5<potenza_impegnata<=6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,12,247,0.316,0.2612,0.4228,2024
4.5<potenza_impegnata<=6,Residente,Servizio a tutele graduali domestici non vulnerabili,12,309,0.3116,0.279,0.4095,2024
4.5<potenza_impegnata<=6,Tutti,Servizio a tutele graduali domestici non vulnerabili,12,301,0.3123,0.2763,0.4114,2024
potenza_impegnata>6,Non Residente,Servizio a tutele graduali domestici non vulnerabili,12,660,0.3738,0.2289,0.3974,2024
potenza_impegnata>6,Residente,Servizio a tutele graduali domestici non vulnerabili,12,684,0.3092,0.255,0.4358,2024
potenza_impegnata>6,Tutti,Servizio a tutele graduali domestici non vulnerabili,12,680,0.3223,0.2497,0.428,2024
0<potenza_impegnata<=1.5,Non Residente,Tutti,12,34,0.3095,0.2477,0.4428,2024
0<potenza_impegnata<=1.5,Residente,Tutti,12,67,0.303,0.2674,0.4296,2024
0<potenza_impegnata<=1.5,Tutti,Tutti,12,50,0.305,0.2621,0.4328,2024
1.5<potenza_impegnata<=3,Non Residente,Tutti,12,112,0.3088,0.28,0.4113,2024
1.5<potenza_impegnata<=3,Residente,Tutti,12,150,0.3043,0.2836,0.4122,2024
1.5<potenza_impegnata<=3,Tutti,Tutti,12,144,0.305,0.2829,0.4121,2024
3<potenza_impegnata<=4.5,Non Residente,Tutti,12,192,0.3126,0.276,0.4114,2024
3<potenza_impegnata<=4.5,Residente,Tutti,12,241,0.3075,0.2885,0.404,2024
3<potenza_impegnata<=4.5,Tutti,Tutti,12,233,0.3084,0.286,0.4056,2024
4.5<potenza_impegnata<=6,Non Residente,Tutti,12,279,0.3505,0.2575,0.3919,2024
4.5<potenza_impegnata<=6,Residente,Tutti,12,337,0.3105,0.2752,0.4143,2024
4.5<potenza_impegnata<=6,Tutti,Tutti,12,327,0.3199,0.2711,0.409,2024
potenza_impegnata>6,Non Residente,Tutti,12,869,0.3408,0.2412,0.4179,2024
potenza_impegnata>6,Residente,Tutti,12,753,0.3152,0.2536,0.4312,2024
potenza_impegnata>6,Tutti,Tutti,12,783,0.3233,0.2498,0.4268,2024
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,02,27,0.3114,0.2959,0.3926,2024
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,02,70,0.3354,0.3029,0.3617,2024
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,02,53,0.3298,0.3013,0.3689,2024
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,02,84,0.3308,0.317,0.3522,2024
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,02,112,0.332,0.3234,0.3446,2024
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,02,109,0.3319,0.3228,0.3453,2024
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,02,152,0.339,0.315,0.346,2024
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,02,182,0.3338,0.3273,0.339,2024
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,02,179,0.3343,0.3261,0.3397,2024
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,02,203,0.3456,0.2933,0.3611,2024
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,02,230,0.3403,0.3158,0.3439,2024
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,02,226,0.341,0.3126,0.3464,2024
potenza_impegnata>6,Non Residente,Maggior Tutela,02,482,0.3796,0.2629,0.3575,2024
potenza_impegnata>6,Residente,Maggior Tutela,02,477,0.3529,0.289,0.3581,2024
potenza_impegnata>6,Tutti,Maggior Tutela,02,478,0.3597,0.2824,0.3579,2024
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,02,30,0.3542,0.2782,0.3676,2024
0<potenza_impegnata<=1.5,Residente,Mercato Libero,02,61,0.341,0.2966,0.3624,2024
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,02,44,0.3447,0.2913,0.3639,2024
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,02,99,0.3317,0.319,0.3493,2024
1.5<potenza_impegnata<=3,Residente,Mercato Libero,02,128,0.3361,0.3224,0.3415,2024
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,02,123,0.3355,0.3219,0.3427,2024
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,02,162,0.3381,0.3171,0.3449,2024
3<potenza_impegnata<=4.5,Residente,Mercato Libero,02,196,0.3321,0.3318,0.3361,2024
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,02,191,0.333,0.3293,0.3377,2024
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,02,217,0.3505,0.3006,0.3489,2024
4.5<potenza_impegnata<=6,Residente,Mercato Libero,02,260,0.3339,0.3164,0.3497,2024
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,02,252,0.337,0.3135,0.3495,2024
potenza_impegnata>6,Non Residente,Mercato Libero,02,659,0.3748,0.2676,0.3576,2024
potenza_impegnata>6,Residente,Mercato Libero,02,551,0.3425,0.2854,0.3721,2024
potenza_impegnata>6,Tutti,Mercato Libero,02,580,0.3534,0.2792,0.3674,2024
0<potenza_impegnata<=1.5,Non Residente,Tutti,02,29,0.3418,0.2833,0.3748,2024
0<potenza_impegnata<=1.5,Residente,Tutti,02,64,0.339,0.2988,0.3622,2024
0<potenza_impegnata<=1.5,Tutti,Tutti,02,46,0.3398,0.2946,0.3656,2024
1.5<potenza_impegnata<=3,Non Residente,Tutti,02,96,0.3316,0.3187,0.3497,2024
1.5<potenza_impegnata<=3,Residente,Tutti,02,124,0.3352,0.3226,0.3422,2024
1.5<potenza_impegnata<=3,Tutti,Tutti,02,120,0.3348,0.3221,0.3432,2024
3<potenza_impegnata<=4.5,Non Residente,Tutti,02,161,0.3381,0.3169,0.345,2024
3<potenza_impegnata<=4.5,Residente,Tutti,02,194,0.3323,0.3311,0.3365,2024
3<potenza_impegnata<=4.5,Tutti,Tutti,02,189,0.3332,0.3289,0.3379,2024
4.5<potenza_impegnata<=6,Non Residente,Tutti,02,215,0.3498,0.2996,0.3505,2024
4.5<potenza_impegnata<=6,Residente,Tutti,02,254,0.335,0.3163,0.3487,2024
4.5<potenza_impegnata<=6,Tutti,Tutti,02,247,0.3376,0.3133,0.349,2024
potenza_impegnata>6,Non Residente,Tutti,02,628,0.3754,0.2669,0.3576,2024
