classe,residenza,mercato,periodo,kwh,f1,f2,f3,anno
0<potenza_impegnata<=1.5,Non Residente,Maggior Tutela,anno,380,0.2931,0.2859,0.421,2024
0<potenza_impegnata<=1.5,Residente,Maggior Tutela,anno,672,0.3188,0.288,0.3932,2024
0<potenza_impegnata<=1.5,Tutti,Maggior Tutela,anno,578,0.3129,0.2875,0.3996,2024
1.5<potenza_impegnata<=3,Non Residente,Maggior Tutela,anno,659,0.3188,0.3008,0.3804,2024
1.5<potenza_impegnata<=3,Residente,Maggior Tutela,anno,971,0.3201,0.3045,0.3753,2024
1.5<potenza_impegnata<=3,Tutti,Maggior Tutela,anno,945,0.32,0.3042,0.3757,2024
3<potenza_impegnata<=4.5,Non Residente,Maggior Tutela,anno,1049,0.3312,0.2971,0.3717,2024
3<potenza_impegnata<=4.5,Residente,Maggior Tutela,anno,1338,0.3372,0.3039,0.3589,2024
3<potenza_impegnata<=4.5,Tutti,Maggior Tutela,anno,1311,0.3366,0.3032,0.3601,2024
4.5<potenza_impegnata<=6,Non Residente,Maggior Tutela,anno,1793,0.3397,0.2813,0.379,2024
4.5<potenza_impegnata<=6,Residente,Maggior Tutela,anno,1662,0.3293,0.2997,0.371,2024
4.5<potenza_impegnata<=6,Tutti,Maggior Tutela,anno,1689,0.3308,0.2971,0.3722,2024
potenza_impegnata>6,Non Residente,Maggior Tutela,anno,4328,0.3646,0.2553,0.3801,2024
potenza_impegnata>6,Residente,Maggior Tutela,anno,3693,0.3383,0.2746,0.3871,2024
potenza_impegnata>6,Tutti,Maggior Tutela,anno,3850,0.3461,0.2689,0.385,2024
0<potenza_impegnata<=1.5,Non Residente,Mercato Libero,anno,376,0.3341,0.2677,0.3982,2024
0<potenza_impegnata<=1.5,Residente,Mercato Libero,anno,742,0.3176,0.285,0.3974,2024
0<potenza_impegnata<=1.5,Tutti,Mercato Libero,anno,564,0.3222,0.2802,0.3976,2024
1.5<potenza_impegnata<=3,Non Residente,Mercato Libero,anno,1096,0.2972,0.3437,0.3591,2024
1.5<potenza_impegnata<=3,Residente,Mercato Libero,anno,1614,0.3171,0.3065,0.3763,2024
1.5<potenza_impegnata<=3,Tutti,Mercato Libero,anno,1586,0.3139,0.3126,0.3735,2024
3<potenza_impegnata<=4.5,Non Residente,Mercato Libero,anno,1683,0.321,0.3091,0.3699,2024
3<potenza_impegnata<=4.5,Residente,Mercato Libero,anno,2423,0.3204,0.3143,0.3653,2024
3<potenza_impegnata<=4.5,Tutti,Mercato Libero,anno,2372,0.3205,0.3134,0.3662,2024
4.5<potenza_impegnata<=6,Non Residente,Mercato Libero,anno,2305,0.3395,0.2872,0.3733,2024
4.5<potenza_impegnata<=6,Residente,Mercato Libero,anno,3035,0.3236,0.3008,0.3756,2024
4.5<potenza_impegnata<=6,Tutti,Mercato Libero,anno,2990,0.3267,0.2982,0.3751,2024
potenza_impegnata>6,Non Residente,Mercato Libero,anno,7336,0.3594,0.2587,0.3819,2024
potenza_impegnata>6,Residente,Mercato Libero,anno,6541,0.3332,0.2751,0.3918,2024
potenza_impegnata>6,Tutti,Mercato Libero,anno,7025,0.3418,0.2698,0.3884,2024
0<potenza_impegnata<=1.5,Non Residente,Servizio a tutele graduali domestici non vulnerabili,anno,267,0.301,0.2556,0.4434,2024
0<potenza_impegnata<=1.5,Residente,Servizio a tutele graduali domestici non vulnerabili,anno,392,0.2799,0.293,0.4271,2024
0<potenza_impegnata<=1.5,Tutti,Servizio a tutele graduali domestici non vulnerabili,anno,347,0.2854,0.281,0.4336,2024
